prNumber	classification	reasonClass
4439	OUT_OF_LINE	APPROVAL_LINE
4445	OUT_OF_LINE	OTHER_LINE
4446	OUT_OF_LINE	OTHER_LINE
4449	OUT_OF_LINE	CI_INFRA_OTHER
4450	OUT_OF_LINE	DOCS_OTHER_LINE
4457	OUT_OF_LINE	APPROVAL_LINE
4459	OUT_OF_LINE	NIGHTLY_AUTOMATION
4472	OUT_OF_LINE	MULTITABLE_LINE
4474	OUT_OF_LINE	MULTITABLE_LINE
4475	OUT_OF_LINE	NIGHTLY_AUTOMATION
4477	OUT_OF_LINE	APPROVAL_LINE
4478	OUT_OF_LINE	MULTITABLE_LINE
4482	OUT_OF_LINE	APPROVAL_LINE
4485	OUT_OF_LINE	TEST_INFRA_OTHER
4487	OUT_OF_LINE	NIGHTLY_AUTOMATION
4506	OUT_OF_LINE	NIGHTLY_AUTOMATION
4510	OUT_OF_LINE	APPROVAL_LINE
4515	OUT_OF_LINE	APPROVAL_LINE
4516	OUT_OF_LINE	APPROVAL_LINE
4517	OUT_OF_LINE	APPROVAL_LINE
4519	OUT_OF_LINE	MULTITABLE_LINE
4520	OUT_OF_LINE	MATERIAL_RECON_LINE
4523	OUT_OF_LINE	APPROVAL_LINE
4525	OUT_OF_LINE	APPROVAL_LINE
4527	OUT_OF_LINE	NIGHTLY_AUTOMATION
4528	OUT_OF_LINE	APPROVAL_LINE
4532	OUT_OF_LINE	APPROVAL_LINE
4533	OUT_OF_LINE	APPROVAL_LINE
4536	OUT_OF_LINE	APPROVAL_LINE
4537	OUT_OF_LINE	APPROVAL_LINE
4538	OUT_OF_LINE	APPROVAL_LINE
4550	OUT_OF_LINE	NIGHTLY_AUTOMATION
4572	OUT_OF_LINE	NIGHTLY_AUTOMATION
4578	OUT_OF_LINE	DINGTALK_DIRECTORY_LINE
4579	OUT_OF_LINE	OTHER_LINE
4581	OUT_OF_LINE	DINGTALK_DIRECTORY_LINE
4587	OUT_OF_LINE	OTHER_LINE
4589	IN_LINE	LEDGER_SLICE
4591	IN_LINE	LEDGER_SLICE
4593	IN_LINE	LEDGER_SLICE
4594	IN_LINE	LEDGER_SLICE
4598	IN_LINE	LEDGER_SLICE
4599	OUT_OF_LINE	NIGHTLY_AUTOMATION
4605	OUT_OF_LINE	DINGTALK_DIRECTORY_LINE
4610	IN_LINE	LEDGER_SLICE
4611	OUT_OF_LINE	NIGHTLY_AUTOMATION
4612	OUT_OF_LINE	OTHER_LINE
4614	IN_LINE	LEDGER_SLICE
4615	OUT_OF_LINE	ATTENDANCE_LINE
4617	OUT_OF_LINE	ATTENDANCE_LINE
4619	IN_LINE	LEDGER_SLICE
4620	IN_LINE	LEDGER_SLICE
4621	OUT_OF_LINE	DINGTALK_DIRECTORY_LINE
4622	RECORD_SELF	THIS_RECORD
4623	IN_LINE	PREREQ_FOR_4614
